date,country_iso3,country,year,month,period_type,observation_status,fires,burnt_area_ha,product,source_url
2013-07-31,RUS,Russia,2013,7,month,historical_monthly,1434,1353594.6700000002,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-07-31,UKR,Ukraine,2013,7,month,historical_monthly,603,137767.93699999998,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-08-31,RUS,Russia,2013,8,month,historical_monthly,2695,2020947.012999999,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-08-31,UKR,Ukraine,2013,8,month,historical_monthly,911,255701.41400000005,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-09-30,RUS,Russia,2013,9,month,historical_monthly,322,76955.13699999997,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-09-30,UKR,Ukraine,2013,9,month,historical_monthly,99,24771.613999999998,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-10-31,RUS,Russia,2013,10,month,historical_monthly,481,158289.3099999999,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-10-31,UKR,Ukraine,2013,10,month,historical_monthly,388,94084.901,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-11-30,RUS,Russia,2013,11,month,historical_monthly,142,47954.749,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-11-30,UKR,Ukraine,2013,11,month,historical_monthly,20,4507.832,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-12-31,RUS,Russia,2013,12,month,historical_monthly,8,3155.483,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-12-31,UKR,Ukraine,2013,12,month,historical_monthly,6,880.101,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-01-31,RUS,Russia,2014,1,month,historical_monthly,4,1030.362,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-01-31,UKR,Ukraine,2014,1,month,historical_monthly,0,0,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-02-28,RUS,Russia,2014,2,month,historical_monthly,459,175032.681,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-02-28,UKR,Ukraine,2014,2,month,historical_monthly,816,183855.157,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-03-31,RUS,Russia,2014,3,month,historical_monthly,2710,7515178.692000001,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-03-31,UKR,Ukraine,2014,3,month,historical_monthly,431,187998.06999999998,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-04-30,RUS,Russia,2014,4,month,historical_monthly,5617,3725551.5369999995,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
